Epoch [1/60], Step [100/469], Train Loss: 2.2666, Train Acc: 22.66%, Test Loss: 2.2610, Test Acc: 35.09%, Lr: 0.001000
Epoch [1/60], Step [200/469], Train Loss: 2.1860, Train Acc: 39.84%, Test Loss: 2.1728, Test Acc: 53.53%, Lr: 0.001000
Epoch [1/60], Step [300/469], Train Loss: 2.0030, Train Acc: 55.47%, Test Loss: 1.9566, Test Acc: 55.97%, Lr: 0.001000
Epoch [1/60], Step [400/469], Train Loss: 1.5881, Train Acc: 60.16%, Test Loss: 1.4883, Test Acc: 65.13%, Lr: 0.001000
Epoch [2/60], Step [100/469], Train Loss: 0.9867, Train Acc: 71.09%, Test Loss: 0.7814, Test Acc: 79.80%, Lr: 0.001000
Epoch [2/60], Step [200/469], Train Loss: 0.8285, Train Acc: 76.56%, Test Loss: 0.6309, Test Acc: 82.68%, Lr: 0.001000
Epoch [2/60], Step [300/469], Train Loss: 0.7463, Train Acc: 71.88%, Test Loss: 0.5542, Test Acc: 83.88%, Lr: 0.001000
Epoch [2/60], Step [400/469], Train Loss: 0.6148, Train Acc: 82.81%, Test Loss: 0.4948, Test Acc: 85.98%, Lr: 0.001000
Epoch [3/60], Step [100/469], Train Loss: 0.5894, Train Acc: 80.47%, Test Loss: 0.4238, Test Acc: 88.11%, Lr: 0.001000
Epoch [3/60], Step [200/469], Train Loss: 0.6310, Train Acc: 78.91%, Test Loss: 0.3983, Test Acc: 88.75%, Lr: 0.001000
Epoch [3/60], Step [300/469], Train Loss: 0.4767, Train Acc: 83.59%, Test Loss: 0.3741, Test Acc: 89.31%, Lr: 0.001000
Epoch [3/60], Step [400/469], Train Loss: 0.5018, Train Acc: 82.03%, Test Loss: 0.3595, Test Acc: 89.70%, Lr: 0.001000
Epoch [4/60], Step [100/469], Train Loss: 0.4034, Train Acc: 85.16%, Test Loss: 0.3329, Test Acc: 90.35%, Lr: 0.001000
Epoch [4/60], Step [200/469], Train Loss: 0.3519, Train Acc: 92.19%, Test Loss: 0.3236, Test Acc: 90.57%, Lr: 0.001000
Epoch [4/60], Step [300/469], Train Loss: 0.4020, Train Acc: 88.28%, Test Loss: 0.3095, Test Acc: 91.03%, Lr: 0.001000
